Year/District,Area covered per institution in square kilometers,"Institutions per 1,00,000 population*","Beds per 1,00,000 population",primary_id,District,Monthly Rainfall - January,Monthly Rainfall - February,Monthly Rainfall - March,Monthly Rainfall - April,Monthly Rainfall - May,Monthly Rainfall - June,Monthly Rainfall - July
1968,56,8,57,1,Ambala,23.0,0.0,0,19.5,1.0,5.0,194.0
1970,53,8,64,2,Panchkula,19.0,0.0,0,0.0,0.0,2.0,210.0
1980,30,10,69,3,Yamunanagar,19.0,0.5,1,7.5,0.5,8.3,205.0
1985,18,16,69,4,Kurukshetra,9.0,0.0,0,4.5,3.5,6.0,46.0
1990-91,15,19,65,5,Kaithal,4.0,0.0,0,9.7,4.7,2.3,26.3
1995-96,14,17,62,6,Karnal,21.0,0.5,0,8.3,2.0,0.0,66.6
2000-01,14,15,52,7,Panipat,19.0,0.0,0,17.0,0.0,8.0,92.0
2005-06,14,14,41,8,Sonipat,21.0,0.0,0,9.0,0.0,0.0,29.0
2009-10,14,13,40,9,Rohtak,3.5,0.0,0,6.0,0.0,2.0,43.0
2010-11,14,13,40,10,Jhajjar,3.0,0.0,0,7.3,3.8,0.0,25.4
2011-12,14,13,40,11,Faridabad,9.5,0.0,0,10.0,0.0,12.0,75.8
2012-13,14,13,40,12,Palwal,4.8,0.0,0,5.6,3.7,2.8,108.4
Ambala,12,11,47,13,Gurgaon,2.8,0.8,0,6.8,0.0,7.8,87.0
Panchkula,12,14,55,14,Mewat,6.0,0.0,0,9.2,0.5,7.8,88.2
Yamunanagar,12,13,35,15,Rewari,1.5,0.0,0,2.5,3.0,3.8,41.8
Kurukshet ra,11,14,32,16,Mahendragarh,10.5,0.0,0,7.0,29.0,11.0,55.5
Kaithal,13,15,28,17,Bhiwani,2.8,0.0,0,18.4,5.6,6.4,50.2
Karnal,14,12,31,18,Jind,13.0,0.0,0,8.0,0.0,0.0,71.0
Panipat,11,10,26,19,Hisar,3.4,0.0,0,0.0,5.8,4.0,33.3
Sonipat,10,14,27,20,Fatehabad,1.5,0.0,0,19.0,0.0,11.0,28.0
Rohtak,11,14,159,21,Sirsa,3.0,0.0,0,13.0,2.5,2.5,36.5
